,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_DE_CALLE,XY (CABA),pos x,pos y,VICTIMA,ACUSADO
425,2019-0008,1,2019-01-30,2019,1,30,22,GRAL PAZ,Point (98650.97430792 93088.91481914),-58.47802293,-34.69156793,MOTO,MULTIPLE
426,2019-0009,1,2019-01-31,2019,1,31,14,AVENIDA,Point (108038.17400278 100802.81492813),-58.37564821,-34.62200207,MOTO,AUTO
427,2019-0010,2,2019-02-02,2019,2,2,7,AVENIDA,Point (103359.87920798 106617.17056502),-58.42668489,-34.56961468,PEATON,AUTO
428,2019-0011,1,2019-02-10,2019,2,10,1,GRAL PAZ,Point (94949.53051500 96309.49139706),-58.5183993,-34.66252488,PEATON,AUTO
429,2019-0012,1,2019-02-17,2019,2,17,3,AVENIDA,Point (98072.98959434 94742.80804806),-58.48432691,-34.67665828,MOTO,AUTO
430,2019-0013,1,2019-02-20,2019,2,20,7,CALLE,Point (102701.07793891 98301.55899449),-58.4338383,-34.64457699,PEATON,AUTO
431,2019-0014,1,2019-02-20,2019,2,20,17,CALLE,Point (95105.42229190 104734.49416290),-58.51664939,-34.58657938,MOTO,OBJETO FIJO
432,2019-0015,1,2019-02-23,2019,2,23,6,AVENIDA,Point (96988.34526261 103575.43345979),-58.49613012,-34.59703502,AUTO,OBJETO FIJO
433,2019-0016,1,2019-02-24,2019,2,24,2,CALLE,Point (107350.48403234 99520.90259673),-58.38313603,-34.63356284,MOTO,PASAJEROS
434,2019-0017,1,2019-03-03,2019,3,3,7,CALLE,Point (105883.57359899 101434.40486977),-58.39914719,-34.61632317,AUTO,PASAJEROS
435,2019-0018,1,2019-03-03,2019,3,3,23,AUTOPISTA,Point (101287.58627255 109848.96522762),-58.44927253,-34.54048625,PEATON,AUTO
436,2019-0019,1,2019-03-06,2019,3,6,12,AVENIDA,Point (101175.50098927 108378.70762331),-58.45049163,-34.55374003,MOTO,AUTO
437,2019-0020,1,2019-03-07,2019,3,7,21,AVENIDA,Point (104622.17042668 99282.25347815),-58.41288952,-34.63572989,MOTO,AUTO
438,2019-0021,1,2019-03-15,2019,3,15,22,AVENIDA,Point (100537.72694403 100405.74808196),-58.45743597,-34.62561234,MOTO,AUTO
439,2019-0022,1,2019-03-15,2019,3,15,0,AVENIDA,Point (106608.39392805 100635.27735528),-58.39123782,-34.62352245,AUTO,SD
440,2019-0023,1,2019-03-16,2019,3,16,8,GRAL PAZ,Point (93955.07404645 99209.29091025),-58.52922765,-34.63637963,AUTO,OBJETO FIJO
441,2019-0024,1,2019-03-19,2019,3,19,7,AVENIDA,Point (108368.93688513 104860.74716674),-58.37208118,-34.58541957,MOTO,CARGAS
442,2019-0025,1,2019-03-22,2019,3,22,13,CALLE,Point (104468.07400702 102205.91009215),-58.41458534,-34.60937557,PEATON,AUTO
443,2019-0026,1,2019-03-28,2019,3,28,7,AVENIDA,Point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,PEATON,PASAJEROS
444,2019-0027,1,2019-03-28,2019,3,28,11,AVENIDA,Point (105815.73438780 103786.90549585),-58.39990285,-34.59511714,BICICLETA,MULTIPLE
445,2019-0028,1,2019-04-06,2019,4,6,9,AVENIDA,Point (100255.56175905 102594.14179920),-58.46051346,-34.60588536,PEATON,PASAJEROS
446,2019-0029,1,2019-04-07,2019,4,7,10,AVENIDA,Point (98491.08733048 93092.87943671),-58.47976785,-34.69153196,MOTO,OBJETO FIJO
447,2019-0030,1,2019-04-09,2019,4,9,16,CALLE,Point (100800.05107565 100531.46552448),-58.45457546,-34.62447891,MOTO,CARGAS
448,2019-0031,1,2019-04-12,2019,4,12,19,AVENIDA,Point (108602.89777103 103429.39485413),-58.36951669,-34.59832047,BICICLETA,CARGAS
449,2019-0032,1,2019-04-16,2019,4,16,11,AVENIDA,Point (99921.70768730 102754.71427746),-58.46415322,-34.6044379,PEATON,AUTO
450,2019-0033,1,2019-04-18,2019,4,18,1,AUTOPISTA,Point (108916.48040002 100856.88142642),-58.36607137,-34.62150748,MOTO,SD
451,2019-0034,1,2019-04-21,2019,4,21,9,AVENIDA,Point (100726.63402530 97597.06610219),-58.45537373,-34.65093074,MOTO,OBJETO FIJO
452,2019-0035,1,2019-04-23,2019,4,23,14,CALLE,Point (107693.66022765 103185.01912141),-58.37942637,-34.60053054,PEATON,BICICLETA
453,2019-0036,1,2019-04-26,2019,4,26,22,CALLE,Point (102429.80070706 100864.42075191),-58.4368044,-34.62147504,MOTO,AUTO
